2.00.032.709 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.04, t =   5.91 s / 346.63 tokens per second
2.06.357.040 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.08, t =  12.26 s / 334.09 tokens per second
2.13.021.316 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.12, t =  18.91 s / 324.83 tokens per second
2.20.002.281 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.16, t =  25.88 s / 316.54 tokens per second
2.27.389.675 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.20, t =  33.25 s / 308.02 tokens per second
2.35.667.201 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.25, t =  41.51 s / 296.06 tokens per second
2.44.713.746 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.29, t =  50.55 s / 283.63 tokens per second
2.54.398.571 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.33, t =  60.21 s / 272.13 tokens per second
3.04.321.489 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.37, t =  70.11 s / 262.90 tokens per second
3.14.306.990 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.41, t =  80.08 s / 255.75 tokens per second
3.24.473.058 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.45, t =  90.23 s / 249.66 tokens per second
3.34.787.548 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.49, t = 100.53 s / 244.47 tokens per second
3.45.199.659 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.53, t = 110.92 s / 240.04 tokens per second
3.55.527.141 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.57, t = 121.25 s / 236.47 tokens per second
4.06.044.938 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.61, t = 131.76 s / 233.16 tokens per second
4.16.785.004 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.65, t = 142.48 s / 229.98 tokens per second
4.27.714.953 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.69, t = 153.40 s / 226.96 tokens per second
4.38.853.764 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36864, progress = 0.74, t = 164.52 s / 224.07 tokens per second
4.50.272.520 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38912, progress = 0.78, t = 175.94 s / 221.17 tokens per second
5.01.992.846 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40960, progress = 0.82, t = 187.63 s / 218.31 tokens per second
5.13.894.013 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43008, progress = 0.86, t = 199.54 s / 215.54 tokens per second
5.26.041.956 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45056, progress = 0.90, t = 211.67 s / 212.86 tokens per second
5.38.384.841 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47104, progress = 0.94, t = 223.99 s / 210.30 tokens per second
5.50.317.790 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49091, progress = 0.98, t = 235.98 s / 208.03 tokens per second
5.56.811.321 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  50115, progress = 1.00, t = 242.68 s / 206.51 tokens per second
6.23.347.192 I slot print_timing: id  0 | task 0 | draft acceptance = 0.58571 (  328 accepted /   560 generated), mean len =  5.62
6.23.347.305 I spec common_specu: statistics        draft-mtp: #calls(b,g,a) =    1     71     71, #gen drafts =     71, #acc drafts =    67, #gen tokens =    560, #acc tokens =   328, #mean acc len = 5.62, #acc rate/pos = (0.944, 0.789, 0.592, 0.521, 0.479, 0.465, 0.451, 0.380), dur(b,g,a) = 0.005, 2858.487, 0.097 ms
